"X","Unnamed..0","Name","Artist","Section","Progression","EndDifferent","NumSectionChords","nonDiatonicChords","extendedChords"
2,2,"Gorgeous","Taylor Swift","Pre-Chorus","IV-iii-IV-iii-V","",4,0,1
3,3,"Gorgeous","Taylor Swift","Chorus","I-vi-IV-V","",5,0,1
4,4,"Gorgeous","Taylor Swift","Bridge","IV-vi-V-ii","V",4,0,0
5,5,"Gorgeous","Taylor Swift","Outro","I-vi-IV-V","IV-V-I",5,0,1
0,0,"Bad Luck","Khalid","Verse ","IV-vi-I-ii-vi-IV-vi-V-I-IV","",5,0,0
1,1,"Bad Luck","Khalid","Pre-Chorus","IV-vi-I-ii-vi-IV-vi-V-I-IV","IV-vi-I-ii-vi-IV-vi-V",5,0,0
2,2,"Bad Luck","Khalid","Chorus","I-IV-vi-I-ii-vi-IV-vi-V-I","IV-vi-V-I-IV",5,0,0
3,3,"Bad Luck","Khalid","Outro","I-ii-vi-IV-vi-V-I-IV","",5,0,0
0,0,"when the Party's over","Billie Eilish","Intro","I","",1,0,0
1,1,"when the Party's over","Billie Eilish","Verse ","I-iii-V-I","",3,0,0
2,2,"when the Party's over","Billie Eilish","Chorus","I-iii-V-I-vi-iii-V-I-vi-iii-V-I","",4,0,0
3,3,"when the Party's over","Billie Eilish","Bridge","vi-iii-V-I","I#-II-I",6,2,0
0,0,"My Strange Addiction","Billie Eilish","Verse ","vi-IV-ii-vi","",3,0,0
1,1,"My Strange Addiction","Billie Eilish","Pre-Chorus ","vi-IV-ii-vi","ii",3,0,0
2,2,"My Strange Addiction","Billie Eilish","Chorus ","vi-IV-ii-vi","ii",3,0,0
3,3,"My Strange Addiction","Billie Eilish","Bridge","vi","",1,0,0
0,0,"Wait","Maroon 5","Verse ","I-V-vi-IV","",4,0,0
1,1,"Wait","Maroon 5","Pre-Chorus","I-V-vi-IV","",4,0,0
2,2,"Wait","Maroon 5","Chorus","I-V-vi-IV","",4,0,0
3,3,"Wait","Maroon 5","Bridge","I-V-vi-IV","",4,0,0
0,0,"Sunday Morning","Maroon 5","Intro","vi-II-V","",3,1,0
1,1,"Sunday Morning","Maroon 5","Verse ","vi-II-V","",3,1,0
2,2,"Sunday Morning","Maroon 5","Chorus","vi-II-V","",3,1,0
3,3,"Sunday Morning","Maroon 5","Bridge","vi-II-V","",3,1,0
4,4,"Sunday Morning","Maroon 5","Outro","V-vi-II-V","II-V",3,2,0
0,0,"Should've Said No","Taylor Swift","Intro","III-VII-IV#-v#","",4,4,0
1,1,"Should've Said No","Taylor Swift","Verse","IV#-v#-III-VII","IV#-v#",4,6,0
0,0,"Look What you Made Me Do","Taylor Swift","Intro","vi-IV-III","",3,1,0
1,1,"Look What you Made Me Do","Taylor Swift","Verse ","vi-V-IV-III","",4,1,0
2,2,"Look What you Made Me Do","Taylor Swift","Pre-Chorus","vi-V-IV-III","",4,1,0
3,3,"Look What you Made Me Do","Taylor Swift","Chorus","vi-V-IV-III","",4,1,0
4,4,"Look What you Made Me Do","Taylor Swift","Bridge","vi-IV-III","",3,1,0
0,0,"Safe & Sound","Taylor Swift","Intro","ii-vi-IV-I","",4,0,0
1,1,"Safe & Sound","Taylor Swift","Verse","ii-vi-IV-I","IV",4,0,0
2,2,"Safe & Sound","Taylor Swift","Chorus","IV-I-V","IV",4,0,0
3,3,"Safe & Sound","Taylor Swift","Interlude","IV-I-vi-V","",4,0,0
4,4,"Safe & Sound","Taylor Swift","Outro","IV-I-V","",3,0,0
0,0,"Love Yourself","Justin Bieber","Verse ","I-V-vi-ii-I-V","",4,0,2
1,1,"Love Yourself","Justin Bieber","Pre-Chorus","vi-IV-I","V",4,0,0
2,2,"Love Yourself","Justin Bieber","Chorus","I-V-vi-IV-I-V-I","",4,0,0
0,0,"Everything Has Changed","Taylor Swift","Intro","III","III",2,2,1
0,0,"Me!","Taylor Swift","Intro","I","",1,0,0
1,1,"Me!","Taylor Swift","Verse ","I-V-ii-IV","",4,0,0
2,2,"Me!","Taylor Swift","Pre-Chorus","ii-IV-I-V-ii-IV-V","",4,0,0
3,3,"Me!","Taylor Swift","Chorus","I-V-ii-IV-I","",4,0,0
4,4,"Me!","Taylor Swift","Bridge","I-V-ii-IV-ii-IV-I-V-ii-IV","ii-IV-I-V-ii-IV-I-V",4,0,0
5,5,"Me!","Taylor Swift","Outro","V-ii-IV-I","",4,0,0
0,0,"Sorry","Justin Bieber","Intro","II#-v-IV","",3,2,0
1,1,"Sorry","Justin Bieber","Verse ","II#-v-IV","",3,2,0
2,2,"Sorry","Justin Bieber","Pre-Chorus","II#-v-IV","II#-IV",4,3,0
